MSCI-609-305,9,0,0,0,0,9,4.000,0,0,0,0,0,9,WILSON E
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
MSCI-609-600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,WILSON E
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,15,0,0,0,0,15,4.000,0,0,0,0,0,15,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
MSCI-689-600,9,2,0,0,0,11,3.818,0,0,0,0,0,11,BANKAITIS V
"",81.82%,18.18%,0.00%,0.00%,0.00%,,,,,,,,,
MSCI-689-601,10,0,0,0,0,10,4.000,0,0,0,0,0,10,HUSTON D
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,19,2,0,0,0,21,3.886,0,0,0,0,0,21,
"",90.48%,9.52%,0.00%,0.00%,0.00%,,,,,,,,,
DEPARTMENT TOTAL:,34,2,0,0,0,36,3.911,0,0,0,0,0,36,
"",94.44%,5.56%,0.00%,0.00%,0.00%,,,,,,,,,
COLLEGE TOTAL:,34,2,0,0,0,36,3.911,0,0,0,0,0,36,
"",94.44%,5.56%,0.00%,0.00%,0.00%,,,,,,,,,
