EDHP-622-700,7,2,0,0,0,9,3.777,0,0,0,0,1,10,KIDDER K
"",77.78%,22.22%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,7,2,0,0,0,9,3.777,0,0,0,0,1,10,
"",77.78%,22.22%,0.00%,0.00%,0.00%,,,,,,,,,
EDHP-631-700,11,1,0,0,0,12,3.916,0,0,0,2,2,16,ARNOLD S
"",91.67%,8.33%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,11,1,0,0,0,12,3.916,0,0,0,2,2,16,
"",91.67%,8.33%,0.00%,0.00%,0.00%,,,,,,,,,
MCMD-677-600,4,1,0,0,0,5,3.800,0,0,0,0,0,5,LIU F
"",80.00%,20.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,4,1,0,0,0,5,3.800,0,0,0,0,0,5,
"",80.00%,20.00%,0.00%,0.00%,0.00%,,,,,,,,,
MPHY-614-601,3,2,0,0,0,5,3.600,0,0,0,0,0,5,MUTHUCHAMY M
"",60.00%,40.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,3,2,0,0,0,5,3.600,0,0,0,0,0,5,
"",60.00%,40.00%,0.00%,0.00%,0.00%,,,,,,,,,
MPHY-625-601,5,0,0,0,0,5,4.000,0,0,0,0,0,5,VANBUREN V
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
MPHY-625-602,6,0,0,0,0,6,4.000,0,0,0,0,0,6,VANBUREN V
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,11,0,0,0,0,11,4.000,0,0,0,0,0,11,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
MSCI-612-601,4,1,0,0,0,5,3.800,0,0,0,0,0,5,TRACHE A
"",80.00%,20.00%,0.00%,0.00%,0.00%,,,,,,,,,
MSCI-612-602,4,1,0,0,0,5,3.800,0,0,0,0,0,5,TRACHE A
"",80.00%,20.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,8,2,0,0,0,10,3.800,0,0,0,0,0,10,
"",80.00%,20.00%,0.00%,0.00%,0.00%,,,,,,,,,
MSCI-650-600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,HUSTON D
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,6,0,0,0,0,6,4.000,0,0,0,0,0,6,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
MSCI-685-616,5,0,0,0,0,5,4.000,0,0,0,0,0,5,MITCHELL B
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,5,0,0,0,0,5,4.000,0,0,0,0,0,5,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
MSCI-689-650,15,0,0,0,0,15,4.000,0,0,0,0,0,15,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,15,0,0,0,0,15,4.000,0,0,0,0,0,15,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
NEXT-605-601,9,2,0,0,0,11,3.818,0,0,0,0,0,11,DUBOIS D
"",81.82%,18.18%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,9,2,0,0,0,11,3.818,0,0,0,0,0,11,
"",81.82%,18.18%,0.00%,0.00%,0.00%,,,,,,,,,
NEXT-620-600,10,6,2,0,0,18,3.444,0,0,0,2,0,20,BRAKORA K
"",55.56%,33.33%,11.11%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,10,6,2,0,0,18,3.444,0,0,0,2,0,20,
"",55.56%,33.33%,11.11%,0.00%,0.00%,,,,,,,,,
NEXT-621-600,7,0,0,0,0,7,4.000,0,0,0,0,0,7,ALLEN G
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,7,0,0,0,0,7,4.000,0,0,0,0,0,7,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
DEPARTMENT TOTAL:,96,16,2,0,0,114,3.719,0,0,0,4,3,121,
"",84.21%,14.04%,1.75%,0.00%,0.00%,,,,,,,,,
COLLEGE TOTAL:,96,16,2,0,0,114,3.719,0,0,0,4,3,121,
"",84.21%,14.04%,1.75%,0.00%,0.00%,,,,,,,,,
